"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"1","FeatureCollection Feature Point",34.4736,-120.228,"STORET","CEDEN","California State Water Resources Control Board","CEDEN-315GAV","Canada de la Gaviota at State Park entrance","River/Stream","Stream","18060013","https://www.waterqualitydata.us/data/provider/STORET/CEDEN/CEDEN-315GAV/",111,111,"California","Santa Barbara County"
"2","FeatureCollection Feature Point",39.4315725,-120.2379793,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10343500","SAGEHEN C NR TRUCKEE CA","Stream","Stream","16050102","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10343500/",60,60,"California","Nevada County"
"3","FeatureCollection Feature Point",37.3510485,-120.9618719,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11273500","MERCED R A RIVER ROAD BRIDGE NR NEWMAN CA","Stream","Stream","18040008","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11273500/",52,52,"California","Merced County"
"4","FeatureCollection Feature Point",37.4135466,-121.0160412,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11274538","ORESTIMBA CR AT RIVER RD NR CROWS LANDING CA","Stream","Stream","18040002","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11274538/",67,67,"California","Stanislaus County"
"5","FeatureCollection Feature Point",37.6760406,-121.2663293,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11303500","SAN JOAQUIN R NR VERNALIS CA","Stream","Stream","18040003","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11303500/",270,270,"California","San Joaquin County"
"6","FeatureCollection Feature Point",38.5001862,-121.0452212,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11335000","COSUMNES R A MICHIGAN BAR CA","Stream","Stream","18040013","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11335000/",50,50,"California","Sacramento County"
"7","FeatureCollection Feature Point",39.2921153,-121.1046751,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11417500","S YUBA R A JONES BAR NR GRASS VALLEY CA","Stream","Stream","18020125","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11417500/",55,55,"California","Nevada County"
"8","FeatureCollection Feature Point",38.4560195,-121.5013437,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11447650","SACRAMENTO R A FREEPORT CA","Stream","Stream","18020163","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11447650/",178,178,"California","Sacramento County"
"9","FeatureCollection Feature Point",38.726015,-121.7299631,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11452600","CACHE C INFLOW TO SETTLING BASIN NR YOLO CA","Stream","Stream","18020116","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11452600/",51,51,"California","Yolo County"
"10","FeatureCollection Feature Point",38.12725,-122.9351389,"STORET","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-PORE_ANIMA_M1","UNNAMED CREEK FLOWING INTO NE ABBOTTS LAGOON","River/Stream","Stream","18050005","https://www.waterqualitydata.us/data/provider/STORET/11NPSWRD_WQX/11NPSWRD_WQX-PORE_ANIMA_M1/",19,53,"California","Marin County"
