"","total_type","lat","lon","ProviderName","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","ResolvedMonitoringLocationTypeName","HUCEightDigitCode","siteUrl","activityCount","resultCount","StateName","CountyName"
"1","FeatureCollection Feature Point",39.051852,-120.1185209,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336645","GENERAL C NR MEEKS BAY CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336645/",777,1186,"California","El Dorado County"
"2","FeatureCollection Feature Point",39.1074071,-120.1621352,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336660","BLACKWOOD C NR TAHOE CITY CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336660/",822,1251,"California","Placer County"
"3","FeatureCollection Feature Point",39.1321292,-120.1576913,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336676","WARD C AT HWY 89 NR TAHOE PINES CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336676/",844,1298,"California","Placer County"
"4","FeatureCollection Feature Point",37.6760406,-121.2663293,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11303500","SAN JOAQUIN R NR VERNALIS CA","Stream","Stream","18040003","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11303500/",860,1468,"California","San Joaquin County"
"5","FeatureCollection Feature Point",45.5020597,-123.0562173,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14204800","TUALATIN RIVER AT GOLF COURSE RD NR CORNELIUS, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14204800/",1020,1020,"Oregon","Washington County"
"6","FeatureCollection Feature Point",45.5198381,-123.0106608,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206200","DAIRY CREEK AT RTE 8 NEAR HILLSBORO, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206200/",1017,1020,"Oregon","Washington County"
"7","FeatureCollection Feature Point",45.4178952,-122.9209346,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206690","TUALATIN RIVER AT HWY 210 BRIDGE, NR SCHOLLS, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206690/",1159,1159,"Oregon","Washington County"
"8","FeatureCollection Feature Point",45.3881737,-122.8517655,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206740","TUALATIN RIVER AT ELSNER RD NEAR SHERWOOD, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206740/",1077,1077,"Oregon","Washington County"
"9","FeatureCollection Feature Point",45.403452,-122.7548185,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206950","FANNO CREEK AT DURHAM, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206950/",1398,1628,"Oregon","Washington County"
"10","FeatureCollection Feature Point",45.3859522,-122.7573183,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14206960","TUALATIN RIVER AT BOONES FERRY RD AT TUALATIN, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14206960/",1322,1322,"Oregon","Washington County"
"11","FeatureCollection Feature Point",45.3795639,-122.6978721,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14207050","TUALATIN RIVER AT STAFFORD RD NR LAKE OSWEGO, OR","Stream","Stream","17090010","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14207050/",1371,1385,"Oregon","Clackamas County"
"12","FeatureCollection Feature Point",45.5175,-122.6691667,"NWIS","USGS-OR","USGS Oregon Water Science Center","USGS-14211720","WILLAMETTE RIVER AT PORTLAND, OR","Stream","Stream","17090012","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OR/USGS-14211720/",578,1046,"Oregon","Multnomah County"
"13","FeatureCollection Feature Point",33.8833488,-117.6453296,"NWIS","USGS-CA","USGS California Water Science Center","USGS-11074000","SANTA ANA R BL PRADO DAM CA","Stream","Stream","18070203","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-11074000/",713,1143,"California","Riverside County"
"14","FeatureCollection Feature Point",39.2404632,-119.9465774,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336698","THIRD CK NR CRYSTAL BAY, NV","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336698/",986,1408,"Nevada","Washoe County"
"15","FeatureCollection Feature Point",39.2401855,-119.9449106,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336700","INCLINE CK NR CRYSTAL BAY, NV","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336700/",968,1388,"Nevada","Washoe County"
"16","FeatureCollection Feature Point",38.93213,-119.9787926,"NWIS","USGS-CA","USGS California Water Science Center","USGS-10336790","TROUT C A SOUTH LAKE TAHOE CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-CA/USGS-10336790/",690,1070,"California","El Dorado County"
"17","FeatureCollection Feature Point",38.9224078,-119.9915706,"NWIS","USGS-NV","USGS Nevada Water Science Center","USGS-10336610","UPPER TRUCKEE RV AT SOUTH LAKE TAHOE, CA","Stream","Stream","16050101","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NV/USGS-10336610/",749,1133,"California","El Dorado County"
"18","FeatureCollection Feature Point",43.7816667,-116.9727778,"NWIS","USGS-ID","USGS Idaho Water Science Center","USGS-13213000","BOISE RIVER NR PARMA ID","Stream","Stream","17050114","https://www.waterqualitydata.us/data/provider/NWIS/USGS-ID/USGS-13213000/",1642,1789,"Idaho","Canyon County"
"19","FeatureCollection Feature Point",46.9348604,-119.5647553,"NWIS","USGS-WA","USGS Washington Water Science Center","USGS-12466100","WEST CANAL NEAR ROYAL CITY, WA","Stream: Canal","Stream","17020015","https://www.waterqualitydata.us/data/provider/NWIS/USGS-WA/USGS-12466100/",1020,1508,"Washington","Grant County"
"20","FeatureCollection Feature Point",46.9148605,-119.5428093,"NWIS","USGS-WA","USGS Washington Water Science Center","USGS-12472300","DW 272 A1 DRAIN NEAR ROYAL CAMP, WA","Stream","Stream","17020015","https://www.waterqualitydata.us/data/provider/NWIS/USGS-WA/USGS-12472300/",1734,2446,"Washington","Grant County"
"21","FeatureCollection Feature Point",46.9159717,-119.5433649,"NWIS","USGS-WA","USGS Washington Water Science Center","USGS-12472350","DW 272 A DRAIN NEAR ROYAL CAMP, WA","Stream","Stream","17020015","https://www.waterqualitydata.us/data/provider/NWIS/USGS-WA/USGS-12472350/",1739,2452,"Washington","Grant County"
"22","FeatureCollection Feature Point",32.7186587,-114.7188444,"NWIS","USGS-AZ","USGS Arizona Water Science Center","USGS-09522000","COLORADO RIVER AT NIB, ABOVE MORELOS DAM, AZ","Stream","Stream","15030107","https://www.waterqualitydata.us/data/provider/NWIS/USGS-AZ/USGS-09522000/",663,1088,"Arizona","Yuma County"
"23","FeatureCollection Feature Point",35.5003412,-97.1939194,"NWIS","USGS-OK","USGS Oklahoma Water Science Center","USGS-07241550","North Canadian River near Harrah, OK","Stream","Stream","11100302","https://www.waterqualitydata.us/data/provider/NWIS/USGS-OK/USGS-07241550/",1015,1380,"Oklahoma","Oklahoma County"
"24","FeatureCollection Feature Point",41.0152778,-96.1577778,"NWIS","USGS-NE","USGS Nebraska Water Science Center","USGS-06805500","Platte River at Louisville, Nebr.","Stream","Stream","10200202","https://www.waterqualitydata.us/data/provider/NWIS/USGS-NE/USGS-06805500/",716,1228,"Nebraska","Sarpy County"
