"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"1","CEDEN-315GAV",17594763,-120.228,34.4736,"inlet",NA,"dn"
"2","CEDEN-315GAV",17594763,-120.228,34.4736,"outlet",NA,"up"
"3","USGS-11303500",1897416,-121.2663293,37.6760406,"inlet",NA,"dn"
"4","USGS-11303500",1897416,-121.2663293,37.6760406,"outlet",NA,"up"
"5","USGS-11447650",15048349,-121.5013437,38.4560195,"inlet",NA,"dn"
"6","USGS-11447650",15048349,-121.5013437,38.4560195,"outlet",NA,"up"
"7","21NEV1_WQX-NV06-101-M-001",8934074,-120.143898,39.1666718,"inlet",NA,"dn"
"8","21NEV1_WQX-NV06-101-M-001",8934074,-120.143898,39.1666718,"outlet",8942039,"up"
"9","21NEV1_WQX-NV06-102-M-001",8933906,-120.2052002,39.3093414,"inlet",NA,"dn"
"10","21NEV1_WQX-NV06-102-M-001",8933906,-120.2052002,39.3093414,"outlet",8942039,"up"
"11","21NEV1_WQX-NV06-102-M-002",8933808,-120.1194,39.3486099,"inlet",NA,"dn"
"12","21NEV1_WQX-NV06-102-M-002",8933808,-120.1194,39.3486099,"outlet",8942039,"up"
"13","21NEV1_WQX-NV06-102-M-003",8933802,-120.1228027,39.3533897,"inlet",NA,"dn"
"14","21NEV1_WQX-NV06-102-M-003",8933802,-120.1228027,39.3533897,"outlet",8942039,"up"
"15","21NEV1_WQX-NV06-102-M-004",8933760,-120.0746994,39.365551,"inlet",NA,"dn"
"16","21NEV1_WQX-NV06-102-M-004",8933760,-120.0746994,39.365551,"outlet",8942039,"up"
"17","21NEV1_WQX-NV06-102-M-005",8933590,-120.0326996,39.4212799,"inlet",NA,"dn"
"18","21NEV1_WQX-NV06-102-M-005",8933590,-120.0326996,39.4212799,"outlet",NA,"up"
"19","CEDEN-304APT",17684386,-121.903,36.9739,"inlet",NA,"dn"
"20","CEDEN-304APT",17684386,-121.903,36.9739,"outlet",NA,"up"
"21","CEDEN-304GAZ",17682228,-122.36,37.1658,"inlet",NA,"dn"
"22","CEDEN-304GAZ",17682228,-122.36,37.1658,"outlet",NA,"up"
"23","CEDEN-304LOR",17684138,-122.022,36.9697,"inlet",NA,"dn"
"24","CEDEN-304LOR",17684138,-122.022,36.9697,"outlet",NA,"up"
