"","comid","lon","lat","inletoutlet","tocomid","direction"
"1",8608039,-77.4764,37.2253,"inlet",8616513,"dn"
"2",8608039,-77.4764,37.2253,"outlet",8609035,"up"
"3",10064953,-76.7822,37.2029,"inlet",NA,"dn"
"4",10064953,-76.7822,37.2029,"outlet",NA,"up"
"5",8575903,-78.0858,37.6711,"inlet",NA,"dn"
"6",8575903,-78.0858,37.6711,"outlet",NA,"up"
"7",8477154,-77.0555,38.1129,"inlet",NA,"dn"
"8",8477154,-77.0555,38.1129,"outlet",NA,"up"
"9",8477102,-77.1866,38.1747,"inlet",NA,"dn"
"10",8477102,-77.1866,38.1747,"outlet",NA,"up"
"11",8477006,-77.3251,38.2447,"inlet",NA,"dn"
"12",8477006,-77.3251,38.2447,"outlet",NA,"up"
"13",8476948,-77.5181,38.3222,"inlet",NA,"dn"
"14",8476948,-77.5181,38.3222,"outlet",NA,"up"
"15",8491710,-76.7933,37.5717,"inlet",NA,"dn"
"16",8491710,-76.7933,37.5717,"outlet",8494274,"up"
"17",8494310,-77.024,37.7229,"inlet",NA,"dn"
"18",8494310,-77.024,37.7229,"outlet",8494274,"up"
"19",8494082,-77.165,37.8839,"inlet",NA,"dn"
"20",8494082,-77.165,37.8839,"outlet",NA,"up"
"21",8508036,-77.0222,37.5798,"inlet",NA,"dn"
"22",8508036,-77.0222,37.5798,"outlet",8507950,"up"
"23",8506380,-77.3322,37.7678,"inlet",NA,"dn"
"24",8506380,-77.3322,37.7678,"outlet",NA,"up"
"25",8402051,-75.5713,38.0761,"inlet",NA,"dn"
"26",8402051,-75.5713,38.0761,"outlet",8401953,"up"
"27",27609899,-75.8737,39.467,"inlet",NA,"dn"
"28",27609899,-75.8737,39.467,"outlet",4765444,"up"
"29",4765742,-75.882,39.3642,"inlet",NA,"dn"
"30",4765742,-75.882,39.3642,"outlet",NA,"up"
"31",4765622,-75.9249,39.2437,"inlet",NA,"dn"
"32",4765622,-75.9249,39.2437,"outlet",4765602,"up"
"33",4769502,-76.2151,38.9923,"inlet",NA,"dn"
"34",4769502,-76.2151,38.9923,"outlet",NA,"up"
"35",9408460,-75.9097,38.8065,"inlet",NA,"dn"
"36",9408460,-75.9097,38.8065,"outlet",9406534,"up"
"37",9409840,-76.0587,38.5807,"inlet",NA,"dn"
"38",9409840,-76.0587,38.5807,"outlet",NA,"up"
"39",8392820,-75.7031,38.5483,"inlet",NA,"dn"
"40",8392820,-75.7031,38.5483,"outlet",8392650,"up"
"41",8394144,-75.8883,38.3413,"inlet",NA,"dn"
"42",8394144,-75.8883,38.3413,"outlet",NA,"up"
"43",8384627,-75.7879,38.2678,"inlet",NA,"dn"
"44",8384627,-75.7879,38.2678,"outlet",8384451,"up"
"45",8402241,-75.8141,38.1379,"inlet",NA,"dn"
"46",8402241,-75.8141,38.1379,"outlet",8401991,"up"
"47",8402105,-75.8017,38.055,"inlet",NA,"dn"
"48",8402105,-75.8017,38.055,"outlet",NA,"up"
"49",11909588,-76.6018,38.4253,"inlet",NA,"dn"
"50",11909588,-76.6018,38.4253,"outlet",NA,"up"
"51",11909786,-76.5113,38.3789,"inlet",NA,"dn"
"52",11909786,-76.5113,38.3789,"outlet",NA,"up"
"53",11909668,-76.4849,38.3398,"inlet",NA,"dn"
"54",11909668,-76.4849,38.3398,"outlet",NA,"up"
"55",11909682,-76.4215,38.312,"inlet",NA,"dn"
"56",11909682,-76.4215,38.312,"outlet",NA,"up"
"57",4532367,-76.598,38.1576,"inlet",NA,"dn"
"58",4532367,-76.598,38.1576,"outlet",4532743,"up"
"59",4532641,-76.347702,38.0215,"inlet",NA,"dn"
"60",4532641,-76.347702,38.0215,"outlet",4532491,"up"
"61",11909794,-76.6643,38.4909,"inlet",NA,"dn"
"62",11909794,-76.6643,38.4909,"outlet",NA,"up"
"63",4534619,-77.2691,38.4035,"inlet",NA,"dn"
"64",4534619,-77.2691,38.4035,"outlet",NA,"up"
