"","comid","lon","lat","inletoutlet","tocomid","direction"
"1",8941733,-120.1185209,39.051852,"inlet",8942097,"dn"
"2",8941733,-120.1185209,39.051852,"outlet",NA,"up"
"3",8941693,-120.1621352,39.1074071,"inlet",8942075,"dn"
"4",8941693,-120.1621352,39.1074071,"outlet",NA,"up"
"5",8941685,-120.1576913,39.1321292,"inlet",8942071,"dn"
"6",8941685,-120.1576913,39.1321292,"outlet",NA,"up"
"7",1897416,-121.2663293,37.6760406,"inlet",NA,"dn"
"8",1897416,-121.2663293,37.6760406,"outlet",NA,"up"
"9",23805042,-123.0562173,45.5020597,"inlet",NA,"dn"
"10",23805042,-123.0562173,45.5020597,"outlet",NA,"up"
"11",23804940,-123.0106608,45.5198381,"inlet",NA,"dn"
"12",23804940,-123.0106608,45.5198381,"outlet",NA,"up"
"13",23804868,-122.9209346,45.4178952,"inlet",NA,"dn"
"14",23804868,-122.9209346,45.4178952,"outlet",NA,"up"
"15",23804866,-122.8517655,45.3881737,"inlet",NA,"dn"
"16",23804866,-122.8517655,45.3881737,"outlet",NA,"up"
"17",23805270,-122.7548185,45.403452,"inlet",23792815,"dn"
"18",23805270,-122.7548185,45.403452,"outlet",NA,"up"
"19",23804852,-122.7573183,45.3859522,"inlet",23792815,"dn"
"20",23804852,-122.7573183,45.3859522,"outlet",NA,"up"
"21",23804842,-122.6978721,45.3795639,"inlet",23792815,"dn"
"22",23804842,-122.6978721,45.3795639,"outlet",NA,"up"
"23",23815040,-122.6691667,45.5175,"inlet",NA,"dn"
"24",23815040,-122.6691667,45.5175,"outlet",23791015,"up"
"25",22563116,-117.6453296,33.8833488,"inlet",NA,"dn"
"26",22563116,-117.6453296,33.8833488,"outlet",22563416,"up"
"27",8942877,-119.9465774,39.2404632,"inlet",8942883,"dn"
"28",8942877,-119.9465774,39.2404632,"outlet",NA,"up"
"29",8942879,-119.9449106,39.2401855,"inlet",8942895,"dn"
"30",8942879,-119.9449106,39.2401855,"outlet",NA,"up"
"31",8945207,-119.9787926,38.93213,"inlet",8945243,"dn"
"32",8945207,-119.9787926,38.93213,"outlet",NA,"up"
"33",8944439,-119.9915706,38.9224078,"inlet",8945243,"dn"
"34",8944439,-119.9915706,38.9224078,"outlet",NA,"up"
"35",23398297,-116.9727778,43.7816667,"inlet",NA,"dn"
"36",23398297,-116.9727778,43.7816667,"outlet",NA,"up"
"37",24407553,-119.5647553,46.9348604,"inlet",24407815,"dn"
"38",24407553,-119.5647553,46.9348604,"outlet",NA,"up"
"39",24407553,-119.5428093,46.9148605,"inlet",24407815,"dn"
"40",24407553,-119.5428093,46.9148605,"outlet",NA,"up"
"41",24407553,-119.5433649,46.9159717,"inlet",24407815,"dn"
"42",24407553,-119.5433649,46.9159717,"outlet",NA,"up"
"43",21412711,-114.7188444,32.7186587,"inlet",NA,"dn"
"44",21412711,-114.7188444,32.7186587,"outlet",21412649,"up"
"45",414203,-97.1939194,35.5003412,"inlet",NA,"dn"
"46",414203,-97.1939194,35.5003412,"outlet",NA,"up"
"47",17416036,-96.1577778,41.0152778,"inlet",NA,"dn"
"48",17416036,-96.1577778,41.0152778,"outlet",NA,"up"
"49",19053670,-91.3959464,30.7585166,"inlet",NA,"dn"
"50",19053670,-91.3959464,30.7585166,"outlet",NA,"up"
"51",938080187,-91.7362262,30.690743,"inlet",NA,"dn"
"52",938080187,-91.7362262,30.690743,"outlet",NA,"up"
"53",22848175,-92.1513889,34.6811111,"inlet",22848175,"dn"
"54",22848175,-92.1513889,34.6811111,"outlet",22848153,"up"
"55",6013072,-91.4385,38.7098056,"inlet",NA,"dn"
"56",6013072,-91.4385,38.7098056,"outlet",NA,"up"
"57",2252949,-94.8568333,39.75325,"inlet",NA,"dn"
"58",2252949,-94.8568333,39.75325,"outlet",NA,"up"
"59",5969716,-93.2736944,39.6400278,"inlet",NA,"dn"
"60",5969716,-93.2736944,39.6400278,"outlet",NA,"up"
"61",1100388,-93.4366212,45.1632981,"inlet",1100556,"dn"
"62",1100388,-93.4366212,45.1632981,"outlet",1100624,"up"
"63",4823639,-94.6741707,46.9566252,"inlet",4824059,"dn"
"64",4823639,-94.6741707,46.9566252,"outlet",NA,"up"
"65",1104206,-93.256166,44.940854,"inlet",NA,"dn"
"66",1104206,-93.256166,44.940854,"outlet",NA,"up"
"67",1104304,-93.306019,44.920625,"inlet",1104304,"dn"
"68",1104304,-93.306019,44.920625,"outlet",NA,"up"
"69",1104306,-93.24047,44.907535,"inlet",1104306,"dn"
"70",1104306,-93.24047,44.907535,"outlet",NA,"up"
"71",1104304,-93.310436,44.939891,"inlet",1104304,"dn"
"72",1104304,-93.310436,44.939891,"outlet",NA,"up"
"73",1103760,-93.323122,44.982525,"inlet",NA,"dn"
"74",1103760,-93.323122,44.982525,"outlet",1104102,"up"
"75",1104304,-93.32013,44.961482,"inlet",1104304,"dn"
"76",1104304,-93.32013,44.961482,"outlet",NA,"up"
"77",1104304,-93.308976,44.953884,"inlet",1104304,"dn"
"78",1104304,-93.308976,44.953884,"outlet",NA,"up"
"79",2386970,-93.428548,44.876935,"inlet",2386970,"dn"
"80",2386970,-93.428548,44.876935,"outlet",NA,"up"
"81",1100638,-93.013643,45.110124,"inlet",1100638,"dn"
"82",1100638,-93.013643,45.110124,"outlet",1097730,"up"
"83",937010718,-93.071596,45.017113,"inlet",937010718,"dn"
"84",937010718,-93.071596,45.017113,"outlet",937010483,"up"
"85",937010720,-93.056277,44.992753,"inlet",937010720,"dn"
"86",937010720,-93.056277,44.992753,"outlet",1104078,"up"
"87",937010723,-93.111918,44.998249,"inlet",NA,"dn"
"88",937010723,-93.111918,44.998249,"outlet",NA,"up"
"89",937010723,-93.141066,44.979902,"inlet",NA,"dn"
"90",937010723,-93.141066,44.979902,"outlet",NA,"up"
"91",937010488,-93.123541,45.038849,"inlet",937010483,"dn"
"92",937010488,-93.123541,45.038849,"outlet",937010491,"up"
"93",1100020,-93.151771,45.033216,"inlet",1100672,"dn"
"94",1100020,-93.151771,45.033216,"outlet",NA,"up"
"95",1100020,-93.199232,45.072359,"inlet",1100672,"dn"
"96",1100020,-93.199232,45.072359,"outlet",NA,"up"
"97",1100020,-93.17239,45.040041,"inlet",1100672,"dn"
"98",1100020,-93.17239,45.040041,"outlet",NA,"up"
"99",937010488,-93.116732,45.044464,"inlet",937010483,"dn"
