"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"1","TCEQMAIN-10899",1492986,-95.0417,30.65,"inlet",1492986,"dn"
"2","TCEQMAIN-10899",1492986,-95.0417,30.65,"outlet",1492984,"up"
"3","TCEQMAIN-10914",1492784,-95.3983,30.8597,"inlet",1492784,"dn"
"4","TCEQMAIN-10914",1492784,-95.3983,30.8597,"outlet",1492754,"up"
"5","TCEQMAIN-10934",1260375,-96.7357,32.7074,"inlet",NA,"dn"
"6","TCEQMAIN-10934",1260375,-96.7357,32.7074,"outlet",NA,"up"
"7","TCEQMAIN-11956",5531532,-97.5675,31.7859,"inlet",NA,"dn"
"8","TCEQMAIN-11956",5531532,-97.5675,31.7859,"outlet",NA,"up"
"9","TCEQMAIN-11961",5530672,-98.035,31.9772,"inlet",NA,"dn"
"10","TCEQMAIN-11961",5530672,-98.035,31.9772,"outlet",NA,"up"
"11","TCEQMAIN-11963",5529516,-98.184,32.1931,"inlet",NA,"dn"
"12","TCEQMAIN-11963",5529516,-98.184,32.1931,"outlet",5529984,"up"
"13","TCEQMAIN-12294",5781877,-97.7861,30.295,"inlet",5781877,"dn"
"14","TCEQMAIN-12294",5781877,-97.7861,30.295,"outlet",5781873,"up"
"15","TCEQMAIN-12302",5781787,-97.905,30.392,"inlet",5781787,"dn"
"16","TCEQMAIN-12302",5781787,-97.905,30.392,"outlet",5781779,"up"
"17","TCEQMAIN-12316",5780371,-98.104,30.499,"inlet",5780371,"dn"
"18","TCEQMAIN-12316",5780371,-98.104,30.499,"outlet",5780365,"up"
"19","TCEQMAIN-12319",5779287,-98.2568,30.5567,"inlet",5779287,"dn"
"20","TCEQMAIN-12319",5779287,-98.2568,30.5567,"outlet",5779283,"up"
"21","TCEQMAIN-12324",5757862,-98.339,30.555,"inlet",5757862,"dn"
"22","TCEQMAIN-12324",5757862,-98.339,30.555,"outlet",5757860,"up"
"23","TCEQMAIN-12336",5757792,-98.383,30.732,"inlet",5757792,"dn"
"24","TCEQMAIN-12336",5757792,-98.383,30.732,"outlet",5757790,"up"
"25","TCEQMAIN-12344",5757778,-98.42,30.751,"inlet",5757778,"dn"
"26","TCEQMAIN-12344",5757778,-98.42,30.751,"outlet",5757774,"up"
"27","TCEQMAIN-12347",5757766,-98.406,30.815,"inlet",5757766,"dn"
"28","TCEQMAIN-12347",5757766,-98.406,30.815,"outlet",5757762,"up"
"29","TCEQMAIN-15170",1446818,-96.2075,32.0412,"inlet",NA,"dn"
"30","TCEQMAIN-15170",1446818,-96.2075,32.0412,"outlet",NA,"up"
"31","21VASWCB-2-APP001.53",10072933,-77.2969,37.3114,"inlet",NA,"dn"
"32","21VASWCB-2-APP001.53",10072933,-77.2969,37.3114,"outlet",8616513,"up"
"33","21VASWCB-2-APP016.38",8608039,-77.4764,37.2253,"inlet",8616513,"dn"
"34","21VASWCB-2-APP016.38",8608039,-77.4764,37.2253,"outlet",8609035,"up"
"35","21VASWCB-2-CHK006.14",10065359,-76.8728,37.3119,"inlet",NA,"dn"
"36","21VASWCB-2-CHK006.14",10065359,-76.8728,37.3119,"outlet",10067267,"up"
"37","21VASWCB-2-EBE002.98",10055528,-76.2444,36.8361,"inlet",NA,"dn"
"38","21VASWCB-2-EBE002.98",10055528,-76.2444,36.8361,"outlet",10054700,"up"
"39","21VASWCB-2-ELI002.00",10054656,-76.3384,36.9046,"inlet",NA,"dn"
"40","21VASWCB-2-ELI002.00",10054656,-76.3384,36.9046,"outlet",10055974,"up"
"41","21VASWCB-2-ELI004.79",10055230,-76.329,36.8656,"inlet",NA,"dn"
"42","21VASWCB-2-ELI004.79",10055230,-76.329,36.8656,"outlet",10055974,"up"
"43","21VASWCB-2-ELI006.92",10054704,-76.2981,36.8483,"inlet",NA,"dn"
"44","21VASWCB-2-ELI006.92",10054704,-76.2981,36.8483,"outlet",10055974,"up"
"45","21VASWCB-2-JMS005.72",10055366,-76.3928,36.9549,"inlet",NA,"dn"
"46","21VASWCB-2-JMS005.72",10055366,-76.3928,36.9549,"outlet",NA,"up"
"47","21VASWCB-2-JMS013.10",10069327,-76.4754,36.9904,"inlet",NA,"dn"
"48","21VASWCB-2-JMS013.10",10069327,-76.4754,36.9904,"outlet",NA,"up"
"49","21VASWCB-2-JMS021.04",10065153,-76.5931,37.056,"inlet",NA,"dn"
"50","21VASWCB-2-JMS021.04",10065153,-76.5931,37.056,"outlet",NA,"up"
"51","21VASWCB-2-JMS032.59",10064909,-76.6483,37.203,"inlet",10064909,"dn"
"52","21VASWCB-2-JMS032.59",10064909,-76.6483,37.203,"outlet",10065261,"up"
"53","21VASWCB-2-JMS042.92",10064953,-76.7822,37.2029,"inlet",NA,"dn"
"54","21VASWCB-2-JMS042.92",10064953,-76.7822,37.2029,"outlet",NA,"up"
"55","21VASWCB-2-JMS055.94",10064859,-76.9885,37.2747,"inlet",NA,"dn"
"56","21VASWCB-2-JMS055.94",10064859,-76.9885,37.2747,"outlet",NA,"up"
"57","21VASWCB-2-JMS069.08",10067495,-77.1264,37.3,"inlet",NA,"dn"
"58","21VASWCB-2-JMS069.08",10067495,-77.1264,37.3,"outlet",NA,"up"
"59","21VASWCB-2-JMS075.04",10073065,-77.2331,37.3128,"inlet",NA,"dn"
"60","21VASWCB-2-JMS075.04",10073065,-77.2331,37.3128,"outlet",NA,"up"
"61","21VASWCB-2-JMS099.30",10067379,-77.3919,37.4029,"inlet",NA,"dn"
"62","21VASWCB-2-JMS099.30",10067379,-77.3919,37.4029,"outlet",NA,"up"
"63","21VASWCB-2-JMS104.16",10067297,-77.42,37.4498,"inlet",NA,"dn"
"64","21VASWCB-2-JMS104.16",10067297,-77.42,37.4498,"outlet",NA,"up"
"65","21VASWCB-2-JMS110.30",8573941,-77.435,37.5278,"inlet",NA,"dn"
"66","21VASWCB-2-JMS110.30",8573941,-77.435,37.5278,"outlet",NA,"up"
"67","21VASWCB-2-JMS113.20",8574091,-77.4837,37.5314,"inlet",NA,"dn"
"68","21VASWCB-2-JMS113.20",8574091,-77.4837,37.5314,"outlet",NA,"up"
"69","21VASWCB-2-JMS157.28",8575903,-78.0858,37.6711,"inlet",NA,"dn"
"70","21VASWCB-2-JMS157.28",8575903,-78.0858,37.6711,"outlet",NA,"up"
"71","21VASWCB-2-LAF001.15",10056024,-76.3146,36.9083,"inlet",NA,"dn"
"72","21VASWCB-2-LAF001.15",10056024,-76.3146,36.9083,"outlet",NA,"up"
"73","21VASWCB-2-LAF003.83",10055426,-76.2814,36.8894,"inlet",NA,"dn"
"74","21VASWCB-2-LAF003.83",10055426,-76.2814,36.8894,"outlet",NA,"up"
"75","21VASWCB-2-SBE006.26",10055726,-76.3,36.765,"inlet",NA,"dn"
"76","21VASWCB-2-SBE006.26",10055726,-76.3,36.765,"outlet",10055974,"up"
"77","21VASWCB-2-WBE004.44",10054760,-76.3958,36.8292,"inlet",NA,"dn"
"78","21VASWCB-2-WBE004.44",10054760,-76.3958,36.8292,"outlet",NA,"up"
"79","21VASWCB-3-CRR003.38",8480302,-76.4733,37.6933,"inlet",NA,"dn"
"80","21VASWCB-3-CRR003.38",8480302,-76.4733,37.6933,"outlet",8479634,"up"
"81","21VASWCB-3-RPP010.60",8480254,-76.4633,37.6333,"inlet",NA,"dn"
"82","21VASWCB-3-RPP010.60",8480254,-76.4633,37.6333,"outlet",NA,"up"
"83","21VASWCB-3-RPP017.72",8479886,-76.5544,37.6703,"inlet",NA,"dn"
"84","21VASWCB-3-RPP017.72",8479886,-76.5544,37.6703,"outlet",8480034,"up"
"85","21VASWCB-3-RPP025.52",8484110,-76.6211,37.7606,"inlet",NA,"dn"
"86","21VASWCB-3-RPP025.52",8484110,-76.6211,37.7606,"outlet",NA,"up"
"87","21VASWCB-3-RPP031.57",8479648,-76.7133,37.8083,"inlet",NA,"dn"
"88","21VASWCB-3-RPP031.57",8479648,-76.7133,37.8083,"outlet",NA,"up"
"89","21VASWCB-3-RPP042.12",8480100,-76.8217,37.92,"inlet",NA,"dn"
"90","21VASWCB-3-RPP042.12",8480100,-76.8217,37.92,"outlet",NA,"up"
"91","21VASWCB-3-RPP051.01",8475438,-76.9083,38.0186,"inlet",NA,"dn"
"92","21VASWCB-3-RPP051.01",8475438,-76.9083,38.0186,"outlet",NA,"up"
"93","21VASWCB-3-RPP064.40",8477154,-77.0555,38.1129,"inlet",NA,"dn"
"94","21VASWCB-3-RPP064.40",8477154,-77.0555,38.1129,"outlet",NA,"up"
"95","21VASWCB-3-RPP080.19",8477102,-77.1866,38.1747,"inlet",NA,"dn"
"96","21VASWCB-3-RPP080.19",8477102,-77.1866,38.1747,"outlet",NA,"up"
"97","21VASWCB-3-RPP091.55",8476982,-77.2334,38.2462,"inlet",NA,"dn"
"98","21VASWCB-3-RPP091.55",8476982,-77.2334,38.2462,"outlet",NA,"up"
"99","21VASWCB-3-RPP098.81",8477006,-77.3251,38.2447,"inlet",NA,"dn"
"100","21VASWCB-3-RPP098.81",8477006,-77.3251,38.2447,"outlet",NA,"up"
"101","21VASWCB-3-RPP113.37",8476948,-77.5181,38.3222,"inlet",NA,"dn"
"102","21VASWCB-3-RPP113.37",8476948,-77.5181,38.3222,"outlet",NA,"up"
"103","21VASWCB-8-MPN004.39",8491710,-76.7933,37.5717,"inlet",NA,"dn"
"104","21VASWCB-8-MPN004.39",8491710,-76.7933,37.5717,"outlet",8494274,"up"
"105","21VASWCB-8-MPN029.08",8494310,-77.024,37.7229,"inlet",NA,"dn"
"106","21VASWCB-8-MPN029.08",8494310,-77.024,37.7229,"outlet",8494274,"up"
"107","21VASWCB-8-MPN054.17",8494082,-77.165,37.8839,"inlet",NA,"dn"
"108","21VASWCB-8-MPN054.17",8494082,-77.165,37.8839,"outlet",NA,"up"
"109","21VASWCB-8-PMK006.36",8503846,-76.87,37.525,"inlet",NA,"dn"
"110","21VASWCB-8-PMK006.36",8503846,-76.87,37.525,"outlet",NA,"up"
"111","21VASWCB-8-PMK034.17",8508036,-77.0222,37.5798,"inlet",NA,"dn"
"112","21VASWCB-8-PMK034.17",8508036,-77.0222,37.5798,"outlet",8507950,"up"
"113","21VASWCB-8-PMK082.34",8506380,-77.3322,37.7678,"inlet",NA,"dn"
"114","21VASWCB-8-PMK082.34",8506380,-77.3322,37.7678,"outlet",NA,"up"
"115","21VASWCB-8-YRK001.64",9897164,-76.4333,37.2322,"inlet",NA,"dn"
"116","21VASWCB-8-YRK001.64",9897164,-76.4333,37.2322,"outlet",NA,"up"
"117","21VASWCB-8-YRK011.14",9897322,-76.5703,37.2917,"inlet",NA,"dn"
"118","21VASWCB-8-YRK011.14",9897322,-76.5703,37.2917,"outlet",NA,"up"
"119","21VASWCB-8-YRK022.70",9897894,-76.6933,37.4183,"inlet",NA,"dn"
"120","21VASWCB-8-YRK022.70",9897894,-76.6933,37.4183,"outlet",9896976,"up"
"121","21VASWCB-8-YRK031.39",9897870,-76.7883,37.5067,"inlet",NA,"dn"
"122","21VASWCB-8-YRK031.39",9897870,-76.7883,37.5067,"outlet",NA,"up"
"123","21VASWCB-PMS10",22340547,-77.0697,38.9022,"inlet",NA,"dn"
"124","21VASWCB-PMS10",22340547,-77.0697,38.9022,"outlet",NA,"up"
"125","MDDNR-ANA0082",22338089,-76.9434,38.9389,"inlet",NA,"dn"
"126","MDDNR-ANA0082",22338089,-76.9434,38.9389,"outlet",NA,"up"
"127","MDDNR-ANT0044",5894726,-77.7317,39.4504,"inlet",NA,"dn"
"128","MDDNR-ANT0044",5894726,-77.7317,39.4504,"outlet",NA,"up"
"129","MDDNR-CAC0031",4505382,-77.5802,39.3318,"inlet",NA,"dn"
"130","MDDNR-CAC0031",4505382,-77.5802,39.3318,"outlet",NA,"up"
"131","MDDNR-CAC0148",4505256,-77.559,39.4258,"inlet",NA,"dn"
"132","MDDNR-CAC0148",4505256,-77.559,39.4258,"outlet",NA,"up"
"133","MDDNR-CJB0005",4508664,-77.1488,38.9735,"inlet",NA,"dn"
"134","MDDNR-CJB0005",4508664,-77.1488,38.9735,"outlet",NA,"up"
"135","MDDNR-ET10.1",8402051,-75.5713,38.0761,"inlet",NA,"dn"
"136","MDDNR-ET10.1",8402051,-75.5713,38.0761,"outlet",8401953,"up"
"137","MDDNR-ET2.2",27609899,-75.8737,39.467,"inlet",NA,"dn"
"138","MDDNR-ET2.2",27609899,-75.8737,39.467,"outlet",4765444,"up"
"139","MDDNR-ET3.1",4765742,-75.882,39.3642,"inlet",NA,"dn"
"140","MDDNR-ET3.1",4765742,-75.882,39.3642,"outlet",NA,"up"
"141","MDDNR-ET4.1",4765622,-75.9249,39.2437,"inlet",NA,"dn"
"142","MDDNR-ET4.1",4765622,-75.9249,39.2437,"outlet",4765602,"up"
"143","MDDNR-ET4.2",4769502,-76.2151,38.9923,"inlet",NA,"dn"
"144","MDDNR-ET4.2",4769502,-76.2151,38.9923,"outlet",NA,"up"
"145","MDDNR-ET5.0",9407484,-75.786441,38.997185,"inlet",NA,"dn"
"146","MDDNR-ET5.0",9407484,-75.786441,38.997185,"outlet",9406534,"up"
"147","MDDNR-ET5.1",9408460,-75.9097,38.8065,"inlet",NA,"dn"
"148","MDDNR-ET5.1",9408460,-75.9097,38.8065,"outlet",9406534,"up"
"149","MDDNR-ET5.2",9409840,-76.0587,38.5807,"inlet",NA,"dn"
"150","MDDNR-ET5.2",9409840,-76.0587,38.5807,"outlet",NA,"up"
"151","MDDNR-ET6.1",8392820,-75.7031,38.5483,"inlet",NA,"dn"
"152","MDDNR-ET6.1",8392820,-75.7031,38.5483,"outlet",8392650,"up"
