"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime","param"
"1","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01401395","Sample-Routine","Water","Surface Water",2014-04-23,"10:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-1150082 TPCN 30mL filtered L-1150082 Received April 24, 2014",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.156","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2014-06-26,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2014-04-23 15:30:00,NA,"Nitrogen Suspended mg/l"
"2","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.00801551","Sample-Routine","Water","Surface Water",2008-05-20,"09:40:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)",NA,"USGS-07263620","A-1440194 TPCN 20mL filtered",NA,"Not determined","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Nitrogen","Suspended","0.201","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2008-06-23,NA,"Laboratory Reporting Level",0.04,"mg/l",NA,"NWIS",2008-05-20 14:40:00,NA,"Nitrogen Suspended mg/l"
"3","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01001315","Sample-Routine","Water","Surface Water",2010-04-06,"09:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","USGS-District Water-Quality Lab, Little Rock, Arkansas","USGS-07263620","A-0980093 TPCN 30mL filtered   Also a DIC bottle L-0980093 time corrected to 0930 per bowling, paa, 6/25/10",NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 Teflon bottle",NA,"Nitrogen","Suspended","0.199","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2010-05-25,NA,"Laboratory Reporting Level",0.034,"mg/l",NA,"NWIS",2010-04-06 14:30:00,NA,"Nitrogen Suspended mg/l"
"4","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01101880","Sample-Routine","Water","Surface Water",2011-05-10,"09:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-1310016 TPCN 50mL Filtered",NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Nitrogen","Suspended","0.119","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2011-05-25,NA,"Long Term Method Detection Level",0.017,"mg/l",NA,"NWIS",2011-05-10 14:30:00,NA,"Nitrogen Suspended mg/l"
"5","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.00401967","Quality Control Sample-Field Replicate","Water","Surface Water",2004-07-13,"08:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","USGS-District Water-Quality Lab, Little Rock, Arkansas","USGS-07263620","A-1960027 chy 50 ml filtered, tpcn 50 ml filtered",NA,"Not determined","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Nitrogen","Suspended","0.176","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,NA,2004-07-30,NA,"Lower Reporting Limit",0.022,"mg/l",NA,"NWIS",2004-07-13 13:30:00,NA,"Nitrogen Suspended mg/l"
"6","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01401170","Sample-Routine","Water","Surface Water",2014-03-25,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-0850030 TPCN 50mL filtered L-0850030 corrected FY13 NAWQA proposal to CL14NAWAR, changed WSC contact to adlasker, paa, 3/26/14",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.205","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2014-05-29,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2014-03-25 15:00:00,NA,"Nitrogen Suspended mg/l"
"7","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01500020","Sample-Routine","Water","Surface Water",2014-10-07,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620","A-2820116 TPCN 100mL Filtered",NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.279","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2015-01-09,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2014-10-07 15:00:00,NA,"Nitrogen Suspended mg/l"
"8","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01700764","Sample-Routine","Water","Surface Water",2017-03-15,"11:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620",NA,NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.136","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2017-03-30,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2017-03-15 16:30:00,NA,"Nitrogen Suspended mg/l"
"9","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.00602128","Quality Control Sample-Field Replicate","Water","Surface Water",2006-08-15,"09:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-District Water-Quality Lab, Little Rock, Arkansas","USGS-07263620","A-2300194 TPCN 100 mL Filtered  100 ml filtered",NA,"Not determined","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended","0.26","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-09-01,NA,"Lower Reporting Limit",0.022,"mg/l",NA,"NWIS",2006-08-15 14:00:00,NA,"Nitrogen Suspended mg/l"
"10","USGS-AR","USGS Arkansas Water Science Center","nwisar.01.01801319","Sample-Routine","Water","Surface Water",2018-06-22,"10:20:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07263620",NA,NA,"Stable, normal stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","Grab sample",NA,"Nitrogen","Suspended","0.153","mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2018-08-06,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2018-06-22 15:20:00,NA,"Nitrogen Suspended mg/l"
