"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime","param"
"1","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00191","Sample-Routine","Water",NA,2009-07-29,"10:45:08","CDT",2009-07-29,"10:45:08","CDT",NA,NA,NA,NA,NA,NA,NA,"WQM09","Kaw Nation","KAWNATON_WQX-KN-KL-003",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","1.51","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the LR Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2009-07-22,NA,NA,NA,NA,NA,"STORET",2009-07-29 15:45:08,2009-07-29 15:45:08,"Nitrogen Total mg/l"
"2","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00951","Sample-Routine","Water",NA,2010-09-15,"09:30:37","CDT",2010-09-15,"16:00:37","CDT",NA,NA,NA,NA,NA,NA,NA,"WQM10","Kaw Nation","KAWNATON_WQX-KN-KL-003",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","0.193","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the LR Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2010-09-15,NA,NA,NA,NA,NA,"STORET",2010-09-15 14:30:37,2010-09-15 21:00:37,"Nitrogen Total mg/l"
"3","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00214","Sample-Routine","Water",NA,2009-03-11,"10:45:08","CDT",2009-03-11,"10:45:08","CDT",NA,NA,NA,NA,NA,NA,NA,"WQM09","Kaw Nation","KAWNATON_WQX-KN-AR-002",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","20.9","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the High Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2009-03-11,NA,NA,NA,NA,NA,"STORET",2009-03-11 15:45:08,2009-03-11 15:45:08,"Nitrogen Total mg/l"
"4","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00939","Sample-Routine","Water",NA,2010-08-31,"10:00:37","CDT",2010-08-31,"16:30:37","CDT",NA,NA,NA,NA,NA,NA,NA,"EPABEACH;WQM10","Kaw Nation","KAWNATON_WQX-KN-KL-005",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","0.274","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the High Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2010-08-31,NA,NA,NA,NA,NA,"STORET",2010-08-31 15:00:37,2010-08-31 21:30:37,"Nitrogen Total mg/l"
"5","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00956","Sample-Routine","Water",NA,2010-09-21,"09:30:37","CDT",2010-09-21,"16:30:37","CDT",NA,NA,NA,NA,NA,NA,NA,"WQM10","Kaw Nation","KAWNATON_WQX-KN-AR-002",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","0.188","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the High Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2010-09-21,NA,NA,NA,NA,NA,"STORET",2010-09-21 14:30:37,2010-09-21 21:30:37,"Nitrogen Total mg/l"
"6","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00945","Sample-Routine","Water",NA,2010-08-31,"10:00:37","CDT",2010-08-31,"16:30:37","CDT",NA,NA,NA,NA,NA,NA,NA,"WQM10","Kaw Nation","KAWNATON_WQX-KN-LB1",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","0.144","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the LR Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2010-08-31,NA,NA,NA,NA,NA,"STORET",2010-08-31 15:00:37,2010-08-31 21:30:37,"Nitrogen Total mg/l"
"7","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00214","Sample-Routine","Water",NA,2009-03-11,"10:45:08","CDT",2009-03-11,"10:45:08","CDT",NA,NA,NA,NA,NA,NA,NA,"WQM09","Kaw Nation","KAWNATON_WQX-KN-AR-002",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","6.45","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the LR Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2009-03-11,NA,NA,NA,NA,NA,"STORET",2009-03-11 15:45:08,2009-03-11 15:45:08,"Nitrogen Total mg/l"
"8","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00951","Sample-Routine","Water",NA,2010-09-15,"09:30:37","CDT",2010-09-15,"16:00:37","CDT",NA,NA,NA,NA,NA,NA,NA,"WQM10","Kaw Nation","KAWNATON_WQX-KN-KL-003",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","0.281","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the High Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2010-09-15,NA,NA,NA,NA,NA,"STORET",2010-09-15 14:30:37,2010-09-15 21:00:37,"Nitrogen Total mg/l"
"9","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00953","Sample-Routine","Water",NA,2010-09-15,"09:30:37","CDT",2010-09-15,"16:30:37","CDT",NA,NA,NA,NA,NA,NA,NA,"EPABEACH;WQM10","Kaw Nation","KAWNATON_WQX-KN-KL-005",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","0.261","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the High Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2010-09-15,NA,NA,NA,NA,NA,"STORET",2010-09-15 14:30:37,2010-09-15 21:30:37,"Nitrogen Total mg/l"
"10","KAWNATON_WQX","Kaw Nation, Oklahoma","KAWNATON_WQX-KN00200","Sample-Routine","Water",NA,2009-06-03,"10:45:08","CDT",2009-06-03,"10:45:08","CDT",NA,NA,NA,NA,NA,NA,NA,"WQM09","Kaw Nation","KAWNATON_WQX-KN-BB1",NA,NA,NA,NA,"KN_WATER_ROUTINE","KNED","Standard Water Sampling","Kemmerer Bottle",NA,"Nitrogen","Total","9.96","mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"This Value is the High Range",NA,NA,NA,NA,NA,NA,"10208","KAWNATON_WQX","Nitrogen, Total Persulfate Digestion Method",NA,"KNED",2009-06-03,NA,NA,NA,NA,NA,"STORET",2009-06-03 15:45:08,2009-06-03 15:45:08,"Nitrogen Total mg/l"
