"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime","param"
"1","USGS-TX","USGS Texas Water Science Center","nwistx.01.00601783","Quality Control Sample-Field Replicate","Water","Surface Water",2006-07-26,"14:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08475000","A-2859506 Oxygen Isotope Sample  PIC/TCPN volume-40mL L-2859506 Received July 29",NA,"Not determined","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81 with Teflon cap and nozzle",NA,"Nitrogen","Suspended",0.371,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,NA,2006-08-14,NA,"Lower Reporting Limit",0.022,"mg/l",NA,"NWIS",2006-07-26 19:00:00,NA,"Nitrogen Suspended mg/l"
"2","USGS-TX","USGS Texas Water Science Center","nwistx.01.01400013","Sample-Routine","Water","Surface Water",2013-10-22,"11:45:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","USGS-TX WSC Water-Quality Lab, Fort Worth, TX (KIR fwr)","USGS-08057410","A-3030118 TPCN Volumes: 26, 26, 24 L-3030118 Received October 29, 2013",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended",0.189,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2014-02-06,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2013-10-22 16:45:00,NA,"Nitrogen Suspended mg/l"
"3","USGS-TX","USGS Texas Water Science Center","nwistx.01.01702087","Sample-Routine","Water","Surface Water",2017-05-16,"11:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08057410","MM-51965A",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended",0.221,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2017-06-08,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2017-05-16 16:00:00,NA,"Nitrogen Suspended mg/l"
"4","USGS-TX","USGS Texas Water Science Center","nwistx.01.01402800","Sample-Routine","Water","Surface Water",2014-08-19,"08:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08475000","A-2320155 TPCN filter volume=30mL",NA,"Stable, high stage","Routine sample","30","USGS parameter code 82398","Single vertical","Grab sample",NA,"Nitrogen","Suspended",0.609,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2014-12-05,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2014-08-19 13:00:00,NA,"Nitrogen Suspended mg/l"
"5","USGS-TX","USGS Texas Water Science Center","nwistx.01.01704045","Sample-Routine","Water","Surface Water",2017-09-06,"10:20:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08057200","MM-52686A",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended",0.317,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2017-10-18,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2017-09-06 15:20:00,NA,"Nitrogen Suspended mg/l"
"6","USGS-TX","USGS Texas Water Science Center","nwistx.01.01203494","Sample-Routine","Water","Surface Water",2012-09-05,"14:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08475000","A-2510071 TPCN volume = 30mL",NA,"Stable, normal stage","Routine sample","50","USGS parameter code 82398","Point sample","Open-Mouth Bottle",NA,"Nitrogen","Suspended",0.706,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2012-10-11,NA,"Long Term Method Detection Level",0.017,"mg/l",NA,"NWIS",2012-09-05 19:30:00,NA,"Nitrogen Suspended mg/l"
"7","USGS-TX","USGS Texas Water Science Center","nwistx.01.01101022","Sample-Routine","Water","Surface Water",2011-07-12,"09:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08475000","A-1950128 TPCN volume = 30mL",NA,"Stable, normal stage","Routine sample","50","USGS parameter code 82398","Point sample","Open-Mouth Bottle",NA,"Nitrogen","Suspended",0.905,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2011-08-09,NA,"Long Term Method Detection Level",0.017,"mg/l",NA,"NWIS",2011-07-12 14:00:00,NA,"Nitrogen Suspended mg/l"
"8","USGS-TX","USGS Texas Water Science Center","nwistx.01.02001759","Sample-Routine","Water","Surface Water",2020-06-09,"10:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08116650",NA,NA,"Falling stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US DH-95 Teflon bottle",NA,"Nitrogen","Suspended",0.627,"mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2020-07-13,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2020-06-09 15:30:00,NA,"Nitrogen Suspended mg/l"
"9","USGS-TX","USGS Texas Water Science Center","nwistx.01.00901138","Sample-Routine","Water","Surface Water",2009-09-10,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-08057410","A-2540070 Attention: Charlie Patton TPCN 25mL of sample passed through each filter L-2540070 X = Time on TPCN = 1005",NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 Teflon bottle",NA,"Nitrogen","Suspended",0.465,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2009-12-23,NA,"Laboratory Reporting Level",0.02,"mg/l",NA,"NWIS",2009-09-10 15:00:00,NA,"Nitrogen Suspended mg/l"
"10","USGS-TX","USGS Texas Water Science Center","nwistx.01.01802154","Sample-Routine","Water","Surface Water",2018-06-05,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08116650",NA,NA,"Stable, low stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US DH-95 Teflon bottle",NA,"Nitrogen","Suspended",0.536,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2018-07-10,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2018-06-05 15:00:00,NA,"Nitrogen Suspended mg/l"
